qid,query,gold_doc_id,gold_span,is_absent,language,difficulty,created_at,gold_verified_by,notes
lc001,这个项目的核心模块有哪些,System_Architecture.md,User[User] -->|Query| Server[Flask API Server] || Local --> VectorDB[(FAISS Vector Store)],0,zh,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),迁自 minimal Q016；多 span：架构图列出 Server / Orchestrator / Loop / Registry / Web / Local / FAISS / Ledger / Critic
lc002,系统为什么要同时结合网页搜索和本地文档？,System_Architecture.md,本地检索增强生成 (Local RAG) 模块旨在利用私有知识库回答问题，确保数据隐私并弥补通用大模型的知识盲区,0,zh,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),迁自 minimal Q017
lc003,文档里对 rerank 的作用是怎么描述的？,System_Architecture.md,为了解决传统搜索引擎返回结果中存在的噪声问题,0,zh,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),迁自 minimal Q018
lc004,文档中对本地 RAG 的 chunk size 和 overlap 是怎么设置的？,System_Architecture.md,参数设定为 `chunk_size=1000` (字符) 和 `chunk_overlap=200`,0,zh,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),迁自 minimal Q019
lc005,我上传的文件里有没有提到 XXX（实际没有）,,,1,zh,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),迁自 minimal Q020；语料中不存在“XXX”这一主题，正确行为是说明未提及
lc006,When was the planet Xylos discovered and who led the team?,fictional_knowledge_base_en.md,"The planet was officially discovered on October 27, 2077, by the Deep Reach Space Observatory || led by the Sereleian astrophysicist Dr. Elara Vance",0,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),多 span（同一段落两句）
lc007,What is the population of the Republic of Sereleia?,fictional_knowledge_base_en.md,With a population of just over 2.3 million,0,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
lc008,How many representatives sit on the Sereleian Grand Council?,fictional_knowledge_base_en.md,"the Grand Council, which consists of 300 representatives",0,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),sereleia_visitor_faq_en.txt 也提到 300 人；gold 只指向知识库
lc009,What is the tensile strength of the Skyweave composite?,aetherian_dynamics_brief_en.pdf,"The laminate has a tensile strength of 1,850 megapascals",0,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),PDF；抽取文本含换行，按空白归一化后匹配
lc010,Why is curing Skyweave cheaper at the Ostera plant?,aetherian_dynamics_brief_en.pdf,performs the curing step using geothermal steam and reduces the energy cost of curing by 38 percent,0,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),PDF
lc011,Which port does the ISE Flask process listen on?,ise_operations_manual_en.txt,serves the web UI and the JSON API on port 8000,0,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
lc012,What tool budgets does guided mode allow and how does autonomous mode change them?,ise_operations_manual_en.txt,"The guided mode allows at most 5 iterations, 3 web_search calls, 3 fetch_url calls and 2 search_recovery calls per query || The autonomous mode widens these budgets to 15 iterations",0,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),多 span
lc013,Skyweave 复合材料的储存温度和湿度要求是什么？,skyweave_handling_guide_en.txt,The storage room must stay between 15 and 25 degrees Celsius and below 55 percent relative humidity,0,zh->en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),跨语言：中文问、英文文档
lc014,Which reranking model does the system integrate and from which provider?,System_Architecture.md,系统实现了 `Qwen3Reranker` 类，对接阿里云 DashScope 的 `qwen3-rerank` 模型,0,en->zh,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),跨语言：英文问、中文文档
lc015,What is the telephone number of the Sydra research laboratory?,,,1,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),语料提到 Sydra 实验室但没有电话号码；正确行为是说明未提及
lc016,What number do I dial for an emergency in Sereleia?,sereleia_visitor_faq_en.txt,"Dial 112 for police, fire and medical emergencies anywhere in Sereleia",0,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
lc017,ISE 的 Nginx 反向代理建议把上游读超时设为多少秒？为什么？,ise_operations_manual_en.txt,The recommended reverse proxy is Nginx with a 660 second upstream read timeout || a single agentic query may legitimately run for up to eleven minutes before the loop's hard deadline cancels it,0,zh->en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),跨语言 + 多 span
lc018,How many conversation threads does the checkpoint database keep by default?,ise_operations_manual_en.txt,keeps at most 200 conversation threads by default,0,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
lc019,What happened on 7 September 2026 with Firecrawl credits and what was changed afterwards?,ise_operations_manual_en.txt,the official-domain discovery step consumed 556 Firecrawl credits in a single day || discovery is now limited to one provider by default,0,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),多 span
lc020,Which release checks block a release according to the operations manual?,ise_operations_manual_en.txt,The release is blocked when token_capture_rate is below 1.0 || or when the tool_call_capture_ratio falls under 0.95,0,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),多 span
lc021,When is the Lantern Tide festival held?,sereleia_visitor_faq_en.txt,the annual Lantern Tide festival is held on the first weekend of August,0,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
lc022,Sereleia 的 Sydra 保护区对无人机有什么规定？罚款多少？,sereleia_visitor_faq_en.txt,"Drones are banned throughout the reserve, and the reserve authority fines violations up to 2,000 crowns",0,zh->en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),跨语言
lc023,How long may Skyweave sheets be stored before they must be re-tested?,skyweave_handling_guide_en.txt,Sheets may be stored for 18 months from the curing date printed on the label,0,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
lc024,What fasteners must be used with Skyweave and why not aluminium?,skyweave_handling_guide_en.txt,Mechanical fasteners must be titanium or stainless steel; aluminium fasteners cause galvanic corrosion in contact with the carbon layer,0,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
