qid,query,gold_doc_url,gold_span,authority_required,valid_from,relevance_notes,category,language,difficulty,created_at,gold_verified_by
wzh001,Python 教程里注释是怎么定义的？,https://docs.python.org/zh-cn/3/tutorial/introduction.html,Python 不解释注释，键入例子时，可以不输入注释,0,,官方中文教程,doc_locate,zh,easy,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh002,Python 的 json 模块遵循哪个 RFC？,https://docs.python.org/zh-cn/3/library/json.html,由 RFC 7159 (它取代了 RFC 4627 ) 和 ECMA-404 进行规范,0,,官方标准库文档,doc_locate,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh003,Python 3.13 是哪一天发布的？,https://docs.python.org/zh-cn/3/whatsnew/3.13.html,Python 3.13 已于 2024 年 10 月 7 日发布,0,2024-10-07,发布日期,doc_locate,zh,easy,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh004,Python 虚拟环境目录按惯例叫什么名字？,https://docs.python.org/zh-cn/3/library/venv.html,根据惯例被命名为项目目录下的 .venv,0,,venv 文档,doc_locate,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh005,Kubernetes 这个名字是什么意思？,https://kubernetes.io/zh-cn/docs/concepts/overview/,Kubernetes 这个名字源于希腊语，意为“舵手”或“飞行员”,0,,概述页,doc_locate,zh,easy,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh006,Google 是哪一年开源 Kubernetes 的？,https://kubernetes.io/zh-cn/docs/concepts/overview/,Google 在 2014 年开源了 Kubernetes 项目,0,,概述页,doc_locate,zh,easy,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh007,Kubernetes 中 Pod 的定义是什么？,https://kubernetes.io/zh-cn/docs/concepts/workloads/pods/,Pod 是可以在 Kubernetes 中创建和管理的、最小的可部署的计算单元,0,,Pod 概念页,doc_locate,zh,easy,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh008,Kubernetes API 版本分为哪三类？,https://kubernetes.io/zh-cn/docs/reference/using-api/deprecation-policy/,v1 正式发布（Generally available，GA，稳定版本） v1beta1 Beta （预发布） v1alpha1 Alpha （试验性）,0,,弃用策略,policy_faq,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh009,Kubernetes 中 Service 是什么？,https://kubernetes.io/zh-cn/docs/concepts/services-networking/service/,将运行在一个或一组 Pod 上的网络应用程序公开为网络服务的方法,0,,Service 概念页,doc_locate,zh,medium,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh010,Vue 2 是什么时候停止维护的？,https://cn.vuejs.org/guide/introduction.html,Vue 2 已于 2023 年 12 月 31 日 停止维护,0,2023-12-31,EOL 说明,policy_faq,zh,easy,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
wzh011,Vue 官方文档怎么定义 Vue？,https://cn.vuejs.org/guide/introduction.html,是一款用于构建用户界面的 JavaScript 框架,0,,简介页,doc_locate,zh,easy,2026-09-09,claude-fable-5.1 (agent); span verified by page fetch on 2026-09-09 (tests/quality/web_gold_check.py --fetch)
