qid,query,intent_label,expected_route,allowed_first_tools,allowed_tool_sequences,route_coverage_gap,needs_web_evidence,language,difficulty,created_at,gold_verified_by
route001,What is the speed of light?,general_knowledge,general_web,web_search|search_recovery|fetch_url,"web_search(,fetch_url|search_recovery)*",0,1,en,easy,2026-07-01,dataset author (pre-plan); tool columns added 2026-09-09 by claude-fable-5.1 (agent)
route002,"What is the weather in Bend, Oregon today?",weather,weather_api,weather_conditions,"weather_conditions(,web_search)*",0,0,en,easy,2026-07-01,dataset author (pre-plan); tool columns added 2026-09-09 by claude-fable-5.1 (agent)
route003,Convert 10 miles to kilometers.,unit_conversion,calculator,none,none,1,0,en,easy,2026-07-01,dataset author (pre-plan); tool columns added 2026-09-09 by claude-fable-5.1 (agent)
route004,What time is it in Tokyo right now?,time,time_api,none|web_search,none|web_search,1,0,en,easy,2026-07-01,dataset author (pre-plan); tool columns added 2026-09-09 by claude-fable-5.1 (agent)
route005,How are you doing today?,small_talk,chat,none,none,0,0,en,easy,2026-07-01,dataset author (pre-plan); tool columns added 2026-09-09 by claude-fable-5.1 (agent)
route006,Summarize the cause of the French Revolution.,summary_request,general_web,web_search|search_recovery|fetch_url,"web_search(,fetch_url|search_recovery)*",0,1,en,easy,2026-07-01,dataset author (pre-plan); tool columns added 2026-09-09 by claude-fable-5.1 (agent)
route007,Latest news on climate change.,news_request,general_web,web_search|search_recovery|fetch_url,"web_search(,fetch_url|search_recovery)*",0,1,en,easy,2026-07-01,dataset author (pre-plan); tool columns added 2026-09-09 by claude-fable-5.1 (agent)
route008,When is the next NBA game for the Golden State Warriors?,sports,sports_api,sports_schedule,"sports_schedule(,web_search)*",0,0,en,easy,2026-07-01,dataset author (pre-plan); tool columns added 2026-09-09 by claude-fable-5.1 (agent)
route009,What is the current price of Apple stock?,finance,finance_api,finance_market_data,"finance_market_data(,web_search)*",0,0,en,easy,2026-07-01,dataset author (pre-plan); tool columns added 2026-09-09 by claude-fable-5.1 (agent)
route010,Calculate 5 factorial.,math_calculation,calculator,none,none,1,0,en,easy,2026-07-01,dataset author (pre-plan); tool columns added 2026-09-09 by claude-fable-5.1 (agent)
route011,Translate “good morning” to Spanish.,translation,translation_api,none,none,1,0,en,easy,2026-07-01,dataset author (pre-plan); tool columns added 2026-09-09 by claude-fable-5.1 (agent)
