qid,entity,gold_domains,aliases,is_pinned,category,language,difficulty,created_at,gold_verified_by,notes
od001,GLM,zhipu.cn|bigmodel.cn|z.ai,智谱|ChatGLM|GLM-5.2,1,pinned,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od002,Kimi,moonshot.cn|kimi.com,月之暗面|Moonshot,1,pinned,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od003,OpenAI,openai.com,ChatGPT,1,pinned,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od004,Anthropic,anthropic.com,,1,pinned,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od005,Claude,anthropic.com|claude.com,Claude Fable,1,pinned,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od006,Gemini,gemini.google.com|ai.google.dev|deepmind.google,Google Gemini,1,pinned,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od007,DeepSeek,deepseek.com,深度求索,1,pinned,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od008,MiniMax,minimaxi.com,MiniMax AI,1,pinned,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od009,Fable,fable.ai,,1,pinned,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od010,Fireworks,fireworks.ai,Fireworks AI,1,pinned,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od011,Together,together.ai,Together AI,1,pinned,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od012,LangChain,langchain.com,LangGraph,1,pinned,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od013,PyTorch,pytorch.org,torch,1,pinned,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od014,React,react.dev,ReactJS,1,pinned,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od015,Next.js,nextjs.org,nextjs,1,pinned,en,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od016,Redis,redis.io,,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od017,Milvus,milvus.io,,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od018,PostgreSQL,postgresql.org,Postgres,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od019,Kubernetes,kubernetes.io,k8s,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od020,Docker,docker.com,,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od021,Nginx,nginx.org|nginx.com,,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od022,Vite,vitejs.dev|vite.dev,,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od023,Webpack,webpack.js.org,,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od024,Rust,rust-lang.org,,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od025,Go,go.dev|golang.org,Golang,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od026,Zig,ziglang.org,,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od027,FAISS,faiss.ai,,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od028,LlamaIndex,llamaindex.ai,,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od029,Hugging Face,huggingface.co,huggingface,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od030,TensorFlow,tensorflow.org,,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od031,FastAPI,fastapi.tiangolo.com,,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od032,Django,djangoproject.com,,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od033,Vue,vuejs.org,Vue.js,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od034,Svelte,svelte.dev,,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od035,NumPy,numpy.org,,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od036,Python,python.org,,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od037,WebGPU,gpuweb.github.io|webgpu.github.io,,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od038,Serverless Framework,serverless.com,Serverless,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od039,Bend,higherorderco.com,Bend language,0,open_source,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od040,Stripe,stripe.com,,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od041,Adyen,adyen.com,,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od042,Notion,notion.so|notion.com,,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od043,Obsidian,obsidian.md,,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od044,Tavily,tavily.com,,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
od045,Firecrawl,firecrawl.dev,,0,saas_vendor,en,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator),
