qid,query,category,language,gold_intent_shape,gold_members,gold_member_aliases,gold_entities,gold_claim_classes,gold_critical_ambiguity,gold_existence_query,gold_time_scope,gold_temporal_fanout,gold_requires_evidence,difficulty,created_at,gold_verified_by,notes
qa001,对比 GLM-5.2 和 Kimi K2.7 的 API 价格,comparison,zh,comparison,GLM-5.2|Kimi K2.7,Kimi K2.7=K2.7/Kimi,GLM-5.2|Kimi K2.7,comparison|numeric|pricing,0,0,none,0,1,easy,2026-09-09,claude-fable-5.1 (agent),价格对比
qa002,Compare AWS Fargate vs Cloud Run for cold-start tolerance,comparison,en,comparison,AWS Fargate|Cloud Run,,AWS Fargate|Cloud Run,comparison,0,0,none,0,1,medium,2026-09-09,claude-fable-5.1 (agent),尾句 for cold-start tolerance 不是成员
qa003,Redis 和 Milvus 有什么区别，注意不要只看官方宣传要抓到实际差异,comparison,zh,comparison,Redis|Milvus,,Redis|Milvus,comparison,0,0,none,0,1,hard,2026-09-09,claude-fable-5.1 (agent),指令尾句“注意不要…”不是成员；“有什么区别”不是存在性问题
qa004,比较一下 PostgreSQL、MySQL 和 SQLite 的适用场景,comparison,zh,comparison,PostgreSQL|MySQL|SQLite,,PostgreSQL|MySQL|SQLite,comparison,0,0,none,0,1,medium,2026-09-09,claude-fable-5.1 (agent),“一下”“的适用场景”不是成员
qa005,苹果和微软的区别,comparison,zh,comparison,苹果|微软,,苹果|微软,comparison,0,0,none,0,1,easy,2026-09-09,claude-fable-5.1 (agent),
qa006,Tavily、Firecrawl 与 BrightData 对应的用来获取网页内容的 API 有什么不同,comparison,zh,comparison,Tavily|Firecrawl|BrightData,,Tavily|Firecrawl|BrightData,comparison,0,0,none,0,1,hard,2026-09-09,claude-fable-5.1 (agent),failure_analysis 报告中的失败模式；“有什么不同”是对比而非存在性
qa007,帮我对比 iPhone 17 与 Pixel 10 的相机,comparison,zh,comparison,iPhone 17|Pixel 10,,iPhone 17|Pixel 10,comparison,0,0,none,0,1,medium,2026-09-09,claude-fable-5.1 (agent),“的相机”是限定语
qa008,Claude Fable 5.1 和 Opus 5 哪个更适合写代码,comparison,zh,comparison,Claude Fable 5.1|Opus 5,Claude Fable 5.1=Fable 5.1/Fable|Opus 5=Opus,Claude Fable 5.1|Opus 5,comparison,0,0,none,0,1,medium,2026-09-09,claude-fable-5.1 (agent),“哪个更…”是隐式对比线索
qa009,DeepSeek V4 vs Qwen 3.7 pricing per million tokens,comparison,en,comparison,DeepSeek V4|Qwen 3.7,DeepSeek V4=DeepSeek/V4|Qwen 3.7=Qwen,DeepSeek V4|Qwen 3.7,comparison|numeric|pricing,0,0,none,0,1,easy,2026-09-09,claude-fable-5.1 (agent),
qa010,Which is faster for vector search: FAISS or Milvus? Please cite benchmarks.,comparison,en,comparison,FAISS|Milvus,,FAISS|Milvus,comparison,0,0,none,0,1,medium,2026-09-09,claude-fable-5.1 (agent),指令尾句 Please cite benchmarks 不是成员
qa011,LangChain 与 LlamaIndex 在 RAG 场景下的区别是什么？请给出官方文档依据,comparison,zh,comparison,LangChain|LlamaIndex,,LangChain|LlamaIndex,comparison,0,0,none,0,1,hard,2026-09-09,claude-fable-5.1 (agent),中英混排 + 指令尾句
qa012,Stripe 和 Adyen 的手续费谁更低,comparison,zh,comparison,Stripe|Adyen,,Stripe|Adyen,comparison|numeric|pricing,0,0,none,0,1,medium,2026-09-09,claude-fable-5.1 (agent),“手续费”是价格线索
qa013,Kubernetes on-prem versus managed Kubernetes for a regulated fintech,comparison,en,comparison,on-prem Kubernetes|managed Kubernetes,on-prem Kubernetes=Kubernetes on-prem/on-prem|managed Kubernetes=managed,Kubernetes,comparison|compliance,0,0,none,0,1,hard,2026-09-09,claude-fable-5.1 (agent),成员是两种部署形态；regulated 触发 compliance
qa014,Brave Search API 和 Tavily 的免费额度各是多少,comparison,zh,comparison,Brave Search API|Tavily,Brave Search API=Brave/Brave Search,Brave Search API|Tavily,comparison|numeric|pricing,0,0,none,0,1,medium,2026-09-09,claude-fable-5.1 (agent),额度属于定价类
qa015,Compare the three largest cloud providers on egress pricing,comparison,en,comparison,,,,comparison|numeric|pricing,1,0,none,0,1,hard,2026-09-09,claude-fable-5.1 (agent),成员未点名：应视为关键歧义或需澄清
qa016,GPT-5 和 Claude 的上下文窗口分别多大，输出成表格,comparison,zh,comparison,GPT-5|Claude,,GPT-5|Claude,comparison|numeric,0,0,none,0,1,medium,2026-09-09,claude-fable-5.1 (agent),“输出成表格”是格式指令
qa017,Vite versus Webpack build speed in 2026,comparison,en,comparison,Vite|Webpack,,Vite|Webpack,comparison|temporal,0,0,window,0,1,medium,2026-09-09,claude-fable-5.1 (agent),显式年份
qa018,把 Tesla Model 3 和 BYD Seal 的续航做个对比，不要引用二手评测,comparison,zh,comparison,Tesla Model 3|BYD Seal,Tesla Model 3=Model 3/Tesla|BYD Seal=BYD/Seal,Tesla Model 3|BYD Seal,comparison,0,0,none,0,1,hard,2026-09-09,claude-fable-5.1 (agent),指令尾句“不要引用二手评测”
qa019,Rust vs Go vs Zig for systems programming,comparison,en,comparison,Rust|Go|Zig,,Rust|Go|Zig,comparison,0,0,none,0,1,medium,2026-09-09,claude-fable-5.1 (agent),三成员
qa020,MongoDB 与 PostgreSQL 谁更适合 CMS 工作负载？先说结论再说理由,comparison,zh,comparison,MongoDB|PostgreSQL,,MongoDB|PostgreSQL,comparison,0,0,none,0,1,medium,2026-09-09,claude-fable-5.1 (agent),指令尾句
qa021,Notion vs Obsidian: which respects privacy more under GDPR?,comparison,en,comparison,Notion|Obsidian,,Notion|Obsidian|GDPR,comparison|compliance,0,0,none,0,1,medium,2026-09-09,claude-fable-5.1 (agent),GDPR 是实体也是合规线索
qa022,对比前者和后者的价格,comparison,zh,comparison,,,,comparison|numeric|pricing,1,0,none,0,1,hard,2026-09-09,claude-fable-5.1 (agent),指代对比：关键歧义
