qid,query,gold_doc_id,gold_span,is_absent,language,difficulty,created_at,gold_verified_by,notes
le001,Brave Search 每个 key 槽位每秒最多允许几次请求？,spec_brave-search-quota-tracking.md,maximum request rate of 1 request per second for each configured Brave Search key slot,0,zh->en,easy,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),跨语言；数字事实
le002,取消请求到达时，正在进行的工具调用会被中断吗？,spec_loop-cancellation.md,SHALL NOT 中断已经发出的单次工具调用或模型调用,0,zh,medium,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),是非题，答案在规范正文
le003,What are the two tiers of context compaction and which one calls the LLM?,spec_context-compaction.md,tier-1 为证据指针化与决策轨迹重建（无 LLM 调用），tier-2 为 LLM 摘要,0,en->zh,medium,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),跨语言
le004,上下文 token 预算估算用什么作为实测基线？,spec_context-compaction.md,取最近一次 `act` 响应 `usage_metadata` 中的 `input_tokens` 作为该时点的真实规模,0,zh,medium,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),
le005,Why is the official-domain resolver forbidden from using LLM output about an entity's site?,spec_official-domain-resolution.md,because model memory and page-body claims are injectable sources of domain hallucination,0,en,medium,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),原因型问题
le006,官方域名解析使用了哪些结构化注册表字段？,spec_official-domain-resolution.md,"structured registry fields (Wikidata `P856`, PyPI `home_page`, npm `homepage`, GitHub repo homepage)",0,zh->en,medium,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),跨语言；列表事实
le007,How long is a positive official-domain resolution cached by default?,spec_official-domain-resolution.md,Positive resolutions (`official`/`candidate`) SHALL be served from cache until `cache_ttl_days` (default 30) elapses,0,en,easy,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),数字事实
le008,ask_user 的调用预算耗尽时工具返回什么？,spec_model-initiated-clarification.md,工具 SHALL 返回结构化 `budget_exhausted`,0,zh,easy,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),
le009,clarification_owner 为 system 时模型还能看到 ask_user 工具吗？,spec_model-initiated-clarification.md,`ask_user` SHALL NOT 出现在模型可见的工具面中,0,zh,medium,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),是非题
le010,What implementation backs the persistent checkpointer used to resume a ReAct conversation?,spec_conversation-resume.md,持久化 checkpointer（SQLite 实现）,0,en->zh,easy,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),跨语言
le011,会话续跑时哪些循环字段会被重置，哪些会保留？,spec_conversation-resume.md,`iteration`、`fingerprint_streak`、`no_progress_streak`、`tool_error_streak`、`final_proposed`、`termination_reason`、`final_answer`、`judge_error` SHALL 被重置为新一轮初始值 || `verdicts` SHALL 保留历史轮次的判定记录,0,zh,hard,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),多 span
le012,What value must control.final_executor carry when a non-shortcut query completes?,spec_search-response-control.md,`final_executor` SHALL equal `agentic_loop`,0,en,easy,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),
le013,搜索 provider 可调用是否就意味着它的结果可以被接受为证据？,spec_evidence-policy-routing.md,A callable provider SHALL NOT automatically make its results acceptable evidence,0,zh->en,medium,2026-09-19,claude-fable-5.1 (agent; unverified by a second annotator),跨语言；是非题
