qid,query,reference_answer,must_include_facts,allowed_sources,time_sensitive,category,language,valid_from,official_price_url,difficulty,created_at,gold_verified_by
final001,What is the speed of Earth's rotation at the equator?,"The Earth rotates at roughly 1,000 miles per hour (about 1,600 km/h) at the equator, and this rotational speed decreases as you move toward higher latitudes.","approximate speed at equator (~1,000 mph or 1,600 km/h); variation with latitude",discovermagazine.com,False,general_fact,en,,,easy,2026-07-01,dataset author (pre-plan)
final002,Which moon is the largest in our solar system?,"Ganymede, a moon of Jupiter, is the largest moon in the solar system and is larger than the planets Mercury and Pluto.",Ganymede is a moon of Jupiter; largest moon; larger than Mercury and Pluto,solarsystem.nasa.gov,False,general_fact,en,,,easy,2026-07-01,dataset author (pre-plan)
final003,What is the capital of France?,Paris is the capital and largest city of France.,capital city is Paris,britannica.com,False,general_fact,en,,,easy,2026-07-01,dataset author (pre-plan)
final004,Who wrote the novel '1984'?,British author George Orwell wrote the dystopian novel Nineteen Eighty‑Four (published in 1949).,author is George Orwell; novel title Nineteen Eighty‑Four; publication year 1949,britannica.com,False,general_fact,en,,,easy,2026-07-01,dataset author (pre-plan)
final005,What is the boiling point of water at sea level?,"At sea level (pressure of 1 atmosphere), water boils at 100 °C (212 °F) and remains at that temperature until all of the water turns to vapour.",boiling point 100 °C at 1 atm; remains constant during boiling,umdberg.pbworks.com,False,general_fact,en,,,easy,2026-07-01,dataset author (pre-plan)
final006,On what date did the United States adopt its Declaration of Independence?,"The Declaration of Independence was adopted by the Continental Congress on July 4, 1776.","adopted July 4, 1776; Continental Congress",archives.gov,False,general_fact,en,,,easy,2026-07-01,dataset author (pre-plan)
final007,Name the seven continents.,"The seven continents are Africa, Antarctica, Asia, Australia/Oceania, Europe, North America and South America.",list all seven continents,worldatlas.com,False,general_fact,en,,,easy,2026-07-01,dataset author (pre-plan)
final008,What is the chemical symbol for gold?,"Gold’s chemical symbol is Au, derived from the Latin word “aurum.”",symbol Au; derived from Latin aurum,sciencelearn.org.nz,False,general_fact,en,,,easy,2026-07-01,dataset author (pre-plan)
final009,Who discovered penicillin?,Penicillin was discovered in 1928 by Scottish bacteriologist Alexander Fleming when he noticed that a mold killed bacteria on a culture plate.,discovered by Alexander Fleming; year 1928; observation of mold killing bacteria,drugs.com,False,general_fact,en,,,easy,2026-07-01,dataset author (pre-plan)
final010,What is the speed of light?,"The speed of light in a vacuum is exactly 299,792,458 meters per second.","value 299,792,458 m/s; vacuum",astronomy.com,False,general_fact,en,,,easy,2026-07-01,dataset author (pre-plan)
final011,How high is Mount Everest?,"Mount Everest’s elevation is about 29,031.69 feet (8,848.86 meters), making it the tallest mountain above sea level.","height around 29,031.69 ft or 8,848.86 m; highest mountain",britannica.com,False,general_fact,en,,,easy,2026-07-01,dataset author (pre-plan)
final012,Why is Mars called the Red Planet?,"Mars appears red because its soil and rocks contain iron oxide (rust), giving the planet its distinctive reddish colour.",iron oxide (rust) causes red colour; dust and rocks; nickname Red Planet,britannica.com,False,general_fact,en,,,easy,2026-07-01,dataset author (pre-plan)
final013,What is the official currency of Japan?,"Japan’s official currency is the Japanese yen (JPY), symbolized by ¥.",Japanese yen; symbol ¥; official currency of Japan,oanda.com,False,general_fact,en,,,easy,2026-07-01,dataset author (pre-plan)
final014,When did the Titanic sink?,"The RMS Titanic sank at about 2:20 a.m. on April 15, 1912, after hitting an iceberg during its maiden voyage.",date April 15 1912; time around 2:20 a.m.; iceberg collision,history.com,False,general_fact,en,,,easy,2026-07-01,dataset author (pre-plan)
final015,Who painted the Mona Lisa?,The Mona Lisa was painted by the Italian Renaissance artist Leonardo da Vinci between 1503 and 1519.,Leonardo da Vinci; timeframe 1503–1519; Renaissance portrait,britannica.com,False,general_fact,en,,,easy,2026-07-01,dataset author (pre-plan)
final016,When was Google Inc. founded?,"Google Inc. was officially founded in August 1998 when investor Andy Bechtolsheim wrote its founders a check for $100,000.",official founding date August 1998; Andy Bechtolsheim investment; founders Larry Page and Sergey Brin,about.google,False,general_fact,en,,,easy,2026-07-01,dataset author (pre-plan)
final017,What is the longest river in the world?,"The Nile River is generally considered the longest river in the world, at roughly 4,132 miles (6,650 kilometres) long.","Nile River; length about 4,132 miles or 6,650 km; longest river",britannica.com,False,general_fact,en,,,easy,2026-07-01,dataset author (pre-plan)
final018,Who was the first human to walk on the Moon?,"Astronaut Neil Armstrong became the first person to walk on the Moon on July 20, 1969, during NASA’s Apollo 11 mission.","Neil Armstrong; first person on the Moon; date July 20, 1969; Apollo 11 mission",nasa.gov,False,general_fact,en,,,easy,2026-07-01,dataset author (pre-plan)
final019,Which planet is the largest in the solar system?,Jupiter is the largest planet in the solar system and has more than twice the mass of all the other planets combined.,Jupiter; largest planet; mass more than twice all other planets combined,science.nasa.gov,False,general_fact,en,,,easy,2026-07-01,dataset author (pre-plan)
final020,When is International Men’s Day celebrated?,International Men’s Day is celebrated each year on November 19 to recognize the positive contributions men make to society.,date November 19; annual celebration; focus on positive contributions of men,internationalmensday.com,False,general_fact,en,,,easy,2026-07-01,dataset author (pre-plan)
final021,长江的长度大约是多少公里？,长江全长约 6300 公里，是亚洲第一长河、世界第三长河。,长江全长约 6300 公里；亚洲第一长河,gov.cn|baike.baidu.com|britannica.com,False,zh_fact,zh,,,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final022,珠穆朗玛峰 2020 年中尼联合公布的高程是多少？,2020 年 12 月 8 日中国与尼泊尔联合宣布珠穆朗玛峰高程为 8848.86 米。,高程 8848.86 米；2020 年中尼联合公布,gov.cn|xinhuanet.com,False,zh_fact,zh,,,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final023,中国的首都是哪座城市？,中国的首都是北京。,首都是北京,gov.cn,False,zh_fact,zh,,,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final024,《红楼梦》的作者是谁？,《红楼梦》前八十回作者为曹雪芹，后四十回一般认为由高鹗续写（也有争议）。,作者曹雪芹；后四十回续作者高鹗（存争议）,baike.baidu.com|britannica.com,False,zh_fact,zh,,,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final025,水在标准大气压下的沸点是多少摄氏度？,标准大气压（1 atm）下纯水的沸点是 100 摄氏度。,沸点 100 摄氏度；标准大气压,any,False,zh_fact,zh,,,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final026,光在真空中的传播速度是多少？,光在真空中的速度为 299792458 米/秒（约 30 万公里/秒）。,299792458 米/秒；真空,any,False,zh_fact,zh,,,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final027,人体正常体温大约是多少摄氏度？,人体正常体温约 36.5–37.2 摄氏度（口温约 37 ℃）。,约 37 摄氏度；36.5–37.2 区间可接受,who.int|nhs.uk,False,zh_fact,zh,,,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final028,地球到月球的平均距离大约是多少？,"地球与月球的平均距离约 384,400 公里。",约 384400 公里,nasa.gov,False,zh_fact,zh,,,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final029,第一个登上月球的人是谁？,1969 年 7 月 20 日，阿波罗 11 号宇航员尼尔·阿姆斯特朗成为第一个登上月球的人。,尼尔·阿姆斯特朗；1969 年 7 月 20 日；阿波罗 11 号,nasa.gov,False,zh_fact,zh,,,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final030,圆周率 π 精确到小数点后五位是多少？,π ≈ 3.14159。,3.14159,any,False,zh_fact,zh,,,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final031,Python 是谁创建的？最初发布于哪一年？,Python 由 Guido van Rossum 创建，首个公开版本发布于 1991 年。,Guido van Rossum；1991 年首次发布,python.org,False,zh_fact,zh,,,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final032,Redis 的作者是谁？,Redis 由 Salvatore Sanfilippo（网名 antirez）创建，2009 年首次发布。,Salvatore Sanfilippo（antirez）,redis.io,False,zh_fact,zh,,,medium,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
final033,OpenAI 成立于哪一年？,OpenAI 成立于 2015 年 12 月。,2015 年,openai.com,False,zh_fact,zh,,,easy,2026-09-09,claude-fable-5.1 (agent; unverified by a second annotator)
