qid,query,task_type,scoring_dimensions,reference_notes
open001,"Help me decide whether to use a monorepo or a polyrepo setup for a 12-person platform team. Walk me through the trade-offs and give a recommendation grounded in how real teams have chosen.","decision_advice","breadth_of_tradeoffs;citation_of_real_world_examples;clear_recommendation_with_reasoning;actionable_for_stated_team_size",Open-ended; no single correct answer. Value = framing trade-offs + a grounded recommendation.
open002,"Survey the main approaches to distributed tracing in microservices and explain when each is a good fit.","research_survey","coverage_of_mainstream_approaches;clarity_of_when_to_use;factual_accuracy;structure_and_readability",Surveys reward breadth + organization over a single fact.
open003,"I'm planning a 3-week trip to Japan in November focused on food and traditional culture. Propose a realistic itinerary region by region and explain the logic.","planning_itinerary","realistic_logistics;coverage_of_food_and_culture_themes;region_by_region_reasoning;seasonal_awareness",Multi-step plan; correctness of seasonal/logistical claims matters.
open004,"Compare the major serverless container options (e.g. AWS Fargate, Cloud Run, Azure Container Apps) for a team that needs predictable cost and cold-start tolerance. Give a worked cost intuition.","comparison_advice","fair_treatment_of_each_option;cost_reasoning;cold_start_discussion;recommendation_tied_to_constraints",Comparison + advice; a worked example shows depth.
open005,"Explain how vector databases differ from traditional keyword search and lay out a hybrid strategy a small engineering team could adopt incrementally.","explainer_with_plan","accurate_core_concepts;incremental_adoption_path;practical_for_small_team;citations",Conceptual depth + a pragmatic roadmap.
open006,"I'm switching from PostgreSQL to MongoDB for a content-management workload. What should I check about my access patterns and consistency needs before committing? What could go wrong?","risk_assessment","identifies_key_tradeoffs;specific_to_cms_workload;surfaces_failure_modes;actionable_checklist",Risk-focused; rewards anticipating problems.
open007,"Research the current state of WebGPU adoption across browsers and summarize what a frontend team should plan for in the next year.","trend_research","current_browser_support_accuracy;forward_looking_advice;practical_for_frontend_team;citations",Time-sensitive trend; currency of facts matters.
open008,"We have intermittent 5xx errors in a microservice. Give me a structured debugging methodology I can follow, with the most likely causes to check first.","methodology","structured_step_by_step;ordered_by_likelihood;covers_common_root_causes;actionable",Process/methodology; rewards structure + prioritization.
open009,"Help me write a design doc outline for adding rate limiting to a public API. What sections do I need and what decisions should each section force?","document_planning","complete_section_list;each_section_drives_a_decision;considers_existing_patterns;clarity",Meta-task: structuring a document.
open010,"Compare on-prem Kubernetes vs managed Kubernetes for a regulated fintech. What are the hidden costs and compliance angles people underestimate?","decision_advice","balanced_tradeoffs;specific_hidden_costs;compliance_depth;recommendation_tied_to_fintech",Rewards surfacing non-obvious costs.
open011,"I need to evaluate three open-source workflow engines for a data pipeline. Propose the evaluation criteria I should score them on, and why each criterion matters.","evaluation_design","sensible_criteria;justification_per_criterion;coverage_of_scalability_and_ops;practical",Designing an evaluation rubric.
open012,"Explain the trade-offs of event-driven architecture versus request-driven for an e-commerce checkout flow, and recommend where to draw the boundary.","architecture_advice","accurate_tradeoffs;checkout_specific_reasoning;clear_boundary_recommendation;complexity_awareness",Architecture decision with a concrete boundary.
open013,"Survey how major cloud providers handle secret rotation and what a cross-cloud abstraction would need to account for.","research_survey","coverage_of_providers;abstraction_insight;factual_accuracy;citations",Survey + abstraction insight.
open014,"I'm a new engineering manager inheriting a legacy codebase with no tests. Propose a 90-day plan to build confidence without freezing feature work.","planning_advice","realistic_90_day_phasing;balances_quality_and_delivery;specific_tactics;risk_awareness",Planning under constraints.
open015,"Research the main approaches to cost optimization for LLM inference in production and rank them by effort vs. payoff.","research_ranking","coverage_of_main_approaches;clear_effort_vs_payoff_ranking;factual_accuracy;citations",Ranking rewards prioritization reasoning.
open016,"Compare strong vs. eventual consistency for a collaborative document editor and explain how CRDTs and operational transform fit in.","comparison_explainer","accurate_consistency_concepts;collab_editor_specific;crdt_vs_ot_clarity;citations",Deep conceptual comparison.
open017,"I'm choosing between Stripe and building a custom billing system. Lay out the decision factors and the scenarios where building wins.","decision_advice","balanced_factors;identifies_build_wins_scenarios;cost_and_compliance_angles;clarity",Decision framing; rewards identifying the edge case.
open018,"Help me understand the current options for observability in serverless functions and recommend a starter stack for a solo developer.","recommendation","coverage_of_options;tailored_to_solo_dev;practical_starter_stack;citations",Recommendation tailored to audience.
open019,"Explain how feature flags should be architected for a system that deploys 20+ times a day, including the failure modes to guard against.","explainer_with_risks","architecture_specifics;high_frequency_deployment_context;failure_modes;citations",Architecture + risk awareness.
open020,"Research the state of typed Python async web frameworks and advise which a team should pick if developer experience and type-safety are the top priorities.","research_recommendation","coverage_of_frameworks;dx_and_type_safety_focus;factual_accuracy;clear_recommendation",Survey filtered through stated priorities.
